revenuMensuel,montant,dureeMois,autresCharges,ancienneteMois,incidentsPaiement,fichageBam,score,approved
17727.72,430623.89,12,1749.49,31,0,0,20,0
28509.85,473416.47,36,0,67,0,0,54,0
21918.71,270607.19,240,0,59,0,0,100,1
16311.42,412616.34,120,0,95,2,1,24,0
6155.74,449327.23,36,1896.29,83,0,0,18,0
13007.8,635125.1,36,0,46,2,0,2,0
16924.11,222312.78,48,634.63,71,0,0,76,1
18876.51,594561.87,48,0,72,0,0,26,0
19116.65,168344.01,60,0,15,0,0,86,1
7006.43,139473.63,240,0,94,0,0,89,1
14155.01,391968.85,240,0,20,0,0,82,1
11326.71,607899.16,60,0,87,3,0,0,0
16721.99,411846.46,60,0,116,0,1,15,0
8616.41,268598.41,36,0,98,0,1,0,0
14974.5,280541.85,240,736.4,62,0,0,91,1
13501.07,117682.79,36,0,99,0,1,40,0
8041.58,401232.73,60,595.52,27,0,0,14,0
10739.95,157089.74,12,0,13,0,0,13,0
29331.44,143241.46,240,0,71,1,0,100,1
23793.59,389673.27,60,0,116,0,0,84,1
23164.21,255458.79,24,2754.45,68,3,0,2,0
7808.78,79269.7,24,976.66,111,0,0,26,0
5864.47,619755.68,12,1697.73,94,0,0,18,0
23415.22,203451.01,12,0,66,1,0,20,0
21843.89,863431.43,48,557.84,114,0,0,28,0
17905.48,147625.52,120,0,26,0,0,95,1
26697.09,100789.36,48,0,6,0,0,97,1
10781.0,168763.99,120,0,99,2,0,70,1
27556.71,115740.45,48,0,77,0,0,100,1
5465.2,147964.76,120,0,23,0,0,67,1
13888.87,240723.15,240,0,77,0,0,95,1
26043.67,483650.86,240,0,117,0,0,100,1
9504.21,492183.22,12,956.84,109,0,0,20,0
20928.21,280535.29,24,0,9,0,0,23,0
22771.68,407606.79,12,1297.93,32,0,0,24,0
18760.49,424701.27,120,0,5,0,0,77,1
28940.07,457034.77,48,0,42,0,0,77,1
10828.1,131138.43,60,1325.38,100,0,0,71,1
10462.1,359726.31,48,0,108,0,0,21,0
10052.15,151012.21,120,0,5,0,0,79,1
20584.05,83249.33,120,723.68,48,0,0,100,1
15426.27,519786.31,60,0,13,0,0,16,0
22915.54,131032.94,48,1788.66,3,0,0,83,1
33884.5,84557.13,24,1990.04,10,0,0,90,1
8693.04,420698.72,12,0,60,2,0,1,0
30825.96,439122.07,24,2360.69,96,0,0,31,0
16010.34,619711.44,240,0,46,0,0,81,1
9811.45,325898.93,36,512.79,64,0,0,20,0
27733.19,262483.89,36,0,88,0,0,87,1
14566.65,225749.79,24,0,105,0,0,23,0
8696.71,212480.87,48,0,75,0,0,28,0
9682.98,169436.84,48,2671.7,68,0,0,20,0
20924.64,550819.46,48,0,103,0,0,28,0
8402.4,53597.96,36,1958.89,38,3,0,28,0
11832.73,697520.02,12,2623.96,90,0,0,22,0
20908.19,340223.61,48,0,50,2,0,56,0
24775.45,291544.29,48,0,87,3,0,60,1
17496.12,371671.25,36,0,34,1,0,12,0
19220.27,186166.58,12,2424.77,14,1,1,0,0
16453.87,273589.85,240,1985.47,42,0,0,83,1
16147.67,860780.21,24,2462.95,24,3,0,0,0
22968.54,641072.26,48,1527.57,95,0,0,29,0
8744.98,356883.81,60,0,88,0,0,19,0
6437.1,339994.16,60,1201.48,118,1,0,9,0
16526.59,75532.87,24,0,86,0,0,89,1
8753.99,328635.46,240,929.69,26,2,0,46,0
28309.5,552491.45,240,1728.66,38,1,0,83,1
19050.36,767591.23,48,1717.81,90,0,0,26,0
25949.57,331981.69,24,0,114,0,0,40,0
8129.18,482726.44,12,2940.94,89,0,0,19,0
15438.59,207539.3,240,0,93,1,0,90,1
9135.69,189188.21,60,2078.44,64,0,0,20,0
8533.49,614124.31,60,0,103,0,0,19,0
25070.98,413047.88,60,0,26,0,0,78,1
24362.66,130955.79,12,0,87,0,0,62,1
15479.91,158066.44,24,0,16,0,0,51,0
14207.38,90942.59,120,0,2,0,0,90,1
24343.09,755536.68,36,0,112,0,0,30,0
11096.57,141934.67,48,0,36,0,0,72,1
21174.64,449472.74,240,0,75,1,0,89,1
21235.94,281536.04,24,0,32,0,0,27,0
16287.96,346073.52,24,0,92,0,0,25,0
20372.81,66493.13,36,1532.89,38,0,0,90,1
22924.28,339859.3,60,1793.95,40,0,0,75,1
24345.68,305249.34,48,946.79,68,0,0,82,1
20815.78,528599.44,12,2143.84,76,3,0,1,0
9110.0,245886.19,60,0,111,0,0,41,0
11030.09,570889.73,36,0,118,2,1,0,0
10815.14,482864.31,120,2375.81,2,0,0,11,0
18105.11,208117.77,120,0,98,0,0,97,1
28854.93,120365.21,48,2786.35,72,0,0,96,1
15985.3,396900.47,120,0,110,0,0,82,1
10130.64,621187.88,48,0,26,0,0,14,0
21566.89,926196.19,60,1256.14,36,0,0,24,0
16597.71,514122.23,24,1169.08,55,0,0,24,0
6388.43,81863.61,12,0,16,0,0,11,0
12966.22,144849.47,120,0,93,1,1,44,0
17650.74,664541.68,120,0,54,3,0,42,0
9688.36,917092.85,60,1645.6,47,0,0,18,0
19922.3,138076.09,240,2352.9,111,0,0,94,1
13567.69,540080.51,36,0,105,0,0,23,0
29702.53,522526.09,36,0,65,0,0,48,0
18178.31,809126.95,36,2638.12,68,0,0,26,0
21036.44,104529.26,240,0,25,0,0,100,1
14710.66,264106.12,24,0,32,0,0,18,0
9697.1,802074.48,60,0,27,1,0,6,0
14060.19,717746.71,12,751.69,12,1,1,0,0
6184.14,287282.17,12,766.05,71,0,0,18,0
6983.44,743875.93,12,0,70,0,0,18,0
12585.06,481224.54,240,0,7,0,0,72,1
20276.15,151480.72,48,0,43,0,0,91,1
12391.58,892517.12,36,0,29,0,0,17,0
7229.95,251860.28,48,0,56,0,0,17,0
25872.96,142042.13,240,0,96,0,0,100,1
24632.4,128315.27,24,2037.71,86,0,0,83,1
8287.4,627646.66,120,0,111,3,0,0,0
18225.79,451100.1,240,0,48,0,0,92,1
18009.56,426897.13,240,2152.81,32,0,0,78,1
6648.9,239559.23,12,0,81,0,0,18,0
11091.4,523493.02,60,0,117,2,0,3,0
21349.93,494046.62,12,0,73,0,0,28,0
24790.27,296047.02,240,0,79,0,1,65,1
17916.75,538107.52,60,0,111,0,1,0,0
7696.27,497784.9,36,0,94,0,0,19,0
5423.57,459392.8,48,0,10,0,0,9,0
14340.17,352211.1,120,2968.03,42,2,0,32,0
21371.13,690975.87,12,0,9,0,0,20,0
12359.04,675595.21,36,0,74,0,0,22,0
7051.64,143336.82,36,0,33,0,0,14,0
14524.01,489094.71,48,0,71,0,0,23,0
31895.24,489597.53,120,0,79,0,0,99,1
9668.96,289309.96,12,0,97,0,0,20,0
14705.91,338145.46,12,0,20,0,0,16,0
21486.7,61060.11,60,0,117,0,0,100,1
12072.43,342266.39,48,0,15,0,0,15,0
12508.12,485712.41,60,1539.67,67,0,0,22,0
20451.42,228952.6,24,719.76,15,0,0,37,0
28282.98,119483.13,24,0,17,0,0,89,1
14525.96,199512.85,36,0,4,3,0,30,0
24049.2,171774.21,240,2903.48,84,1,0,88,1
13980.24,429321.41,120,0,115,1,0,66,1
19060.93,235273.06,24,0,94,0,0,39,0
29290.44,301044.19,48,0,25,0,0,86,1
6173.67,126647.16,48,2525.21,68,0,0,18,0
14550.26,177109.54,24,0,99,0,0,38,0
19832.6,183936.01,36,0,59,0,0,84,1
13808.27,663597.47,12,0,70,0,1,0,0
19908.36,543992.78,36,2221.48,8,0,0,18,0
7867.46,337702.05,48,0,12,0,0,11,0
13580.8,229841.46,60,2150.51,104,3,1,0,0
21996.66,253693.35,48,0,114,0,0,86,1
16434.79,178118.32,60,1341.75,94,0,0,81,1
22469.9,833817.07,12,775.88,89,0,0,29,0
20259.25,95357.24,48,1905.32,41,0,0,88,1
7410.2,172277.2,240,0,56,3,0,60,1
22523.17,509647.59,24,0,85,0,0,29,0
14867.8,503633.52,24,2092.88,22,0,0,18,0
6498.96,107172.08,12,0,104,0,0,18,0
7306.69,125698.67,60,0,65,0,0,71,1
8798.84,536601.86,12,0,105,0,0,20,0
8173.65,387159.39,24,0,95,0,0,19,0
24674.99,654530.82,120,0,119,0,0,86,1
9039.57,122237.18,240,2446.45,2,0,0,59,0
12479.51,936107.33,60,0,2,0,0,12,0
8560.57,451425.83,120,0,43,0,0,26,0
9369.32,195393.06,60,0,61,0,0,66,1
16478.11,248753.85,12,0,52,0,0,24,0
17659.54,410420.33,24,0,2,0,0,15,0
14224.22,740699.05,24,2914.44,9,0,0,15,0
7910.92,470680.81,24,0,74,0,0,19,0
16575.7,202472.07,240,2481.78,11,0,0,78,1
14712.27,145826.3,36,0,45,0,0,76,1
11437.47,876910.62,36,0,112,0,0,21,0
11782.22,378858.51,240,0,119,0,0,85,1
12598.52,826497.21,240,0,91,2,0,43,0
7579.84,611498.05,24,1663.75,77,0,0,19,0
10443.8,658084.19,48,0,63,2,0,3,0
16838.89,424089.67,120,0,8,0,0,74,1
14661.22,194807.29,12,0,78,0,0,23,0
24295.9,379172.81,120,0,72,1,0,88,1
19844.89,157093.24,24,0,114,2,0,59,0
9039.02,356270.01,24,1429.21,77,0,0,20,0
7554.51,444774.07,12,0,38,0,0,15,0
8525.18,257461.58,48,0,36,0,0,15,0
9910.74,76223.42,12,1667.53,38,0,0,16,0
29989.74,527630.56,48,0,16,0,0,68,1
11684.57,218384.04,24,0,63,0,0,21,0
11118.34,738975.64,36,1696.87,110,0,0,21,0
6679.14,60702.5,48,0,53,0,0,80,1
27113.46,240723.53,24,0,85,1,0,68,1
11751.34,366849.58,36,2947.47,21,0,1,0,0
12267.19,165756.9,36,2128.52,47,0,0,25,0
23989.51,19774.04,60,1922.11,9,0,0,96,1
13167.29,541919.9,12,0,112,1,0,13,0
21147.41,178543.22,240,1158.05,82,0,0,100,1
7662.07,473266.5,120,0,103,0,0,19,0
8694.86,311626.21,240,0,61,0,0,80,1
20958.85,151172.69,48,0,64,0,0,95,1
8305.06,433108.21,60,0,101,0,0,19,0
28049.53,167771.28,36,1467.1,84,0,0,92,1
15643.89,762034.86,48,0,98,0,0,24,0
8474.95,589849.65,48,613.06,59,0,0,19,0
9544.77,339627.14,48,0,16,1,0,4,0
9108.64,836670.36,240,0,8,0,0,11,0
25675.98,697562.21,36,0,17,0,0,24,0
16594.14,432496.42,12,2644.17,23,0,0,19,0
23353.76,156254.72,240,0,111,0,0,100,1
16281.38,118149.78,12,563.08,116,0,0,25,0
17371.87,91346.36,12,0,41,0,0,56,0
19989.25,158086.4,36,0,8,0,0,79,1
11626.05,433306.94,36,0,117,0,0,21,0
5071.23,522502.91,240,1351.04,52,0,0,16,0
18049.42,505434.45,24,0,8,0,0,17,0
27841.04,171703.69,60,0,61,2,0,85,1
5994.42,441875.85,24,0,74,0,0,18,0
6159.22,689286.11,120,1849.78,120,0,0,18,0
6840.38,207697.11,240,0,106,0,0,82,1
9588.77,83340.79,120,0,32,0,0,89,1
15593.56,114439.71,60,759.3,52,0,0,88,1
15747.98,601852.72,120,2648.03,70,0,0,31,0
15961.08,189385.04,240,0,54,0,0,99,1
10593.64,876683.32,36,0,116,3,0,0,0
19111.43,456515.77,120,0,114,0,0,85,1
11282.62,497695.74,240,1503.49,71,0,0,61,1
11023.21,272446.22,36,2394.28,67,0,0,21,0
19713.51,261391.38,120,0,115,0,0,97,1
18567.95,486042.13,120,0,71,0,0,83,1
15027.74,632327.89,24,0,9,0,0,16,0
12096.55,311515.31,12,0,95,0,0,22,0
17368.71,245341.99,240,0,8,2,0,72,1
30282.95,94442.39,48,0,29,0,0,100,1
7184.76,462673.01,24,2973.1,61,0,0,18,0
13979.31,347114.67,120,0,66,0,0,81,1
8630.83,437968.0,60,0,59,0,0,19,0
11541.8,453181.85,36,2248.97,38,0,0,17,0
31983.77,161319.57,48,0,101,0,0,100,1
14663.42,783240.81,120,1717.75,41,3,0,0,0
6468.13,423342.48,12,0,25,1,0,3,0
16536.96,502040.32,60,1994.79,88,0,0,25,0
12378.79,374915.42,36,2043.81,93,0,0,22,0
